name,slug,released,genre,rating,metacritic
You Cough You Lose Demo,you-cough-you-lose-demo,2020-03-28,Adventure,0.0,
Coronavirus Survival Game,coronavirus-survival-game,2020-03-28,none,0.0,
Lil' Gangsta Vs Uptown Zombies,lil-gangsta-vs-uptown-zombies,2020-03-28,Shooter,0.0,
Coronavirus (THE DOCTOR),coronavirus-the-doctor,2020-03-28,none,0.0,
Froggy Driver,froggy-driver,2020-03-28,Racing,0.0,
Pixel Fishing - Web/Android,pixel-fishing-webandroid,2020-03-28,none,0.0,
Ewu The Game,ewu-the-game,2020-03-28,Platformer,0.0,
Summer Shenanigans,summer-shenanigans,2020-03-28,none,0.0,
CNN Brasil,cnn-brasil,2020-03-28,Shooter,0.0,
Night Of The Mad Robots,night-of-the-mad-robots,2020-03-28,none,0.0,
Where We Belong,where-we-belong,2020-03-28,none,0.0,
The Friends We Made Along The Way,the-friends-we-made-along-the-way,2020-03-28,none,0.0,
Ana vs Corona,ana-vs-corona,2020-03-28,Educational,0.0,
Zombie_Rush,zombie_rush,2020-03-28,Shooter,0.0,
THE TRIPPLETS,the-tripplets,2020-03-28,none,0.0,
NekoPunk (under development),nekopunk-under-development,2020-03-28,Shooter,0.0,
Arrows-M,arrows-m,2020-03-28,Puzzle,0.0,
PAPER PANDEMIC,paper-pandemic,2020-03-28,Shooter,0.0,
bouncy fun ^^,bouncy-fun,2020-03-28,Puzzle,0.0,
みゅかりさんはみ描きさん,miyukarisanhamimiao-kisan,2020-03-28,Action,0.0,
A Platform Game.,a-platform-game,2020-03-28,Platformer,0.0,
kewlest horan clanventures,kewlest-horan-clanventures,2020-03-28,none,0.0,
Cave Adventure (Zetayy),cave-adventure-zetayy,2020-03-28,Platformer,0.0,
The_Survivor,the_survivor,2020-03-28,Adventure,0.0,
"Good luck, stay safe",good-luck-stay-safe,2020-03-27,Shooter,0.0,
Cavine,cavine,2020-03-28,Adventure,0.0,
Hyper Blood Super Cool Fun Time,hyper-blood-super-cool-fun-time,2020-03-27,Action,0.0,
Jumpy Racing,jumpy-racing,2020-03-25,Racing,0.0,
Ant Labs,ant-labs,2020-03-29,Platformer,0.0,
Mask A Doc,mask-a-doc,2020-03-29,Action,0.0,
The Sanitizer Man,the-sanitizer-man,2020-03-29,Shooter,0.0,
Alonen't,alonent,2020-03-29,none,0.0,
Generic Game #123456789,generic-game-123456789,2020-03-29,none,0.0,
Katt and Ted,katt-and-ted,2020-03-29,Platformer,0.0,
El Camino,el-camino,2020-03-29,Platformer,0.0,
Cowboy Cleaner,cowboy-cleaner,2020-03-29,none,0.0,
Toss & Help,toss-help,2020-03-29,Platformer,0.0,
Ying Yang Runners,ying-yang-runners,2020-03-29,Platformer,0.0,
Shelter (itch) (jtlloyd),shelter-itch-jtlloyd,2020-03-29,none,0.0,
Minion Mine,minion-mine,2020-03-29,Simulation,0.0,
SolidariTed,solidarited,2020-03-29,Strategy,0.0,
Follow Me! - StaySafeJam,follow-me-staysafejam,2020-03-29,Puzzle,0.0,
Social Distancing (mudlee),social-distancing-mudlee,2020-03-29,Puzzle,0.0,
Dice Gang,dice-gang,2020-03-15,Casual,0.0,
Bless Unleashed: Deluxe Founder's Pack,bless-unleashed-deluxe-founders-pack,2020-02-12,none,0.0,
Hero Rescue,hero-rescue,2020-03-10,Casual,0.0,
Al Filo del Sol,al-filo-del-sol,2020-03-30,Adventure,0.0,
Super Mordecai,super-mordecai,2020-03-30,Action,0.0,
Aislin's Story: The Bloodbath Trials,aislins-story-the-bloodbath-trials,2020-03-30,none,0.0,
Invasion Force!,invasion-force-2,2020-03-30,Shooter,0.0,
Knights of Treasure,knights-of-treasure,2020-03-30,Strategy,0.0,
call of duty zombies reimagined,call-of-duty-zombies-reimagined,2020-03-30,Shooter,0.0,
A ambição de N,a-ambicao-de-n,2020-03-30,RPG,0.0,
Launch Codes (mark.nixon),launch-codes-marknixon,2020-03-29,Platformer,0.0,
SSJ-Thin Ice,ssj-thin-ice,2020-03-29,Action,0.0,
Z-termination demo,z-termination-demo,2020-03-29,Adventure,0.0,
SpreadLove,spreadlove,2020-03-29,none,0.0,
Flappy Yohnson,flappy-yohnson,2020-03-29,Action,0.0,
The Saint's Tomb,the-saints-tomb,2020-03-29,RPG,0.0,
Caring Food,caring-food,2020-03-29,Adventure,0.0,
What can I do at home？,what-can-i-do-at-home,2020-03-29,Puzzle,0.0,
Keep Distance!,keep-distance,2020-03-29,none,0.0,
Indivisible (itch),indivisible-itch,2020-03-29,Puzzle,0.0,
the space brothers,the-space-brothers,2020-03-29,Shooter,0.0,
2020: o rolê,2020-o-role,2020-03-29,Adventure,0.0,
Cities Help,cities-help,2020-03-29,Strategy,0.0,
Solarpunk Ghosts,solarpunk-ghosts,2020-03-29,Action,0.0,
The Cozy Covid Care-Cargo Couriers,the-cozy-covid-care-cargo-couriers,2020-03-29,none,0.0,
Seasonal,seasonal,2020-03-29,none,0.0,
Papermon Stay,papermon-stay,2020-03-29,none,0.0,
Four One,four-one,2020-03-29,Strategy,0.0,
Robot Escape (MyLawn),robot-escape-mylawn,2020-03-29,Adventure,0.0,
Zapp Demo,zapp-demo,2020-03-29,Shooter,0.0,
Plagueforce,plagueforce,2020-03-29,Shooter,0.0,
Clean Knight,clean-knight,2020-03-29,Action,0.0,
Cuarentena (Ferran Olivas),cuarentena-ferran-olivas,2020-03-29,none,0.0,
share (itch),share-itch,2020-03-29,none,0.0,
The Antibody Guy,the-antibody-guy,2020-03-29,Action,0.0,
Virus killer (devilskeyStudio),virus-killer-devilskeystudio,2020-03-29,Shooter,0.0,
Hell's trial (Lochy791),hells-trial-lochy791,2020-03-29,Platformer,0.0,
Try (Breloomgames71),try-breloomgames71,2020-03-29,Educational,0.0,
IamCat,iamcat,2020-03-29,Platformer,0.0,
Shopping with Virus,shopping-with-virus,2020-03-29,Platformer,0.0,
Sully (K33),sully-k33,2020-03-29,none,0.0,
Colorblind (MoGamer09),colorblind-mogamer09,2020-03-29,Platformer,0.0,
Bored; isolated at home simulator,bored-isolated-at-home-simulator,2020-03-29,Simulation,0.0,
Order is half the Battle,order-is-half-the-battle,2020-03-29,Puzzle,0.0,
Baldi's Basics Free Exclusive Edition The Lost Map,baldis-basics-free-exclusive-edition-the-lost-map,2020-03-29,Educational,0.0,
Micro invaders,micro-invaders,2020-03-29,Shooter,0.0,
Bubble City,bubble-city,2020-03-29,Adventure,0.0,
virus village,virus-village,2020-03-29,Puzzle,0.0,
friend (Eye),friend-eye,2020-03-29,Adventure,0.0,
Covidarity,covidarity,2020-03-29,Action,0.0,
Tick Cross 2 Players,tick-cross-2-players,2020-03-29,Strategy,0.0,
The Hero Of Elderly,the-hero-of-elderly,2020-03-29,Platformer,0.0,
Infected Party,infected-party,2020-03-29,none,0.0,
MovementControlOrder,movementcontrolorder,2020-03-29,Simulation,0.0,
Waste Fishing,waste-fishing,2020-03-29,none,0.0,
RoboPilot 2020,robopilot-2020,2020-03-29,Puzzle,0.0,
Zombie Apocalypse Simulation,zombie-apocalypse-simulation,2020-03-29,Simulation,0.0,
Anno Bellum 239,anno-bellum-239,2020-03-29,Action,0.0,
COLOURWARS,colourwars,2020-03-29,Shooter,0.0,
ISOLATION CONTROL UNIT,isolation-control-unit,2020-03-28,Simulation,0.0,
SpaceX Pilot Trainer,spacex-pilot-trainer,2020-03-28,Platformer,0.0,
BornCG's Godot Tutorial Platformer!,borncgs-godot-tutorial-platformer,2020-03-28,Platformer,0.0,
Paper Drift,paper-drift,2020-03-28,Action,0.0,
Allumette (itch),allumette-itch,2020-03-28,Strategy,0.0,
Yandere simulator 2D alpha,yandere-simulator-2d-alpha,2020-03-28,Simulation,0.0,
Cheese Wars (Goldie Gamez),cheese-wars-goldie-gamez,2020-03-29,Platformer,0.0,
Mahligai Hangus AR,mahligai-hangus-ar,2020-03-29,Educational,0.0,
C³,c3-2,2020-03-29,Puzzle,0.0,
SpeedRun me!,speedrun-me,2020-03-29,Adventure,0.0,
Boss Riot (tutorial fight),boss-riot-tutorial-fight,2020-03-29,Platformer,0.0,
Pandemic Spread Simulation,pandemic-spread-simulation,2020-03-29,Educational,0.0,
Journey of the Homebound Wizard,journey-of-the-homebound-wizard,2020-03-29,Platformer,0.0,
Cards Against Insanity,cards-against-insanity,2020-03-29,none,0.0,
8PM,8pm,2020-03-29,none,0.0,
Fling Hoot,fling-hoot,2020-03-29,Platformer,0.0,
Space Pew,space-pew,2020-03-29,Shooter,0.0,
ずんだシューティング,zundashiyuteingu,2020-03-29,Shooter,0.0,
ゆかリピートアフターミー！,yukaripitoahutami,2020-03-29,none,0.0,
ガンデザイナーゆかりさん,gandezainayukarisan,2020-03-29,Shooter,0.0,
Some wizard,some-wizard,2020-03-29,none,0.0,
ROOM 01,room-01,2020-03-29,Puzzle,0.0,
Bubble Rush (itch) (BlueLuna),bubble-rush-itch-blueluna,2020-03-29,none,0.0,
TouhokuJima,touhokujima,2020-03-29,Action,0.0,
TP Tempo Toss,tp-tempo-toss,2020-03-29,none,0.0,
Appliance Altercation,appliance-altercation,2020-03-29,Action,0.0,
Retro (Erana Knox),retro-erana-knox,2020-03-28,Action,0.0,
Rhino 64,rhino-64,2020-03-29,Adventure,0.0,
VoiPaS (itch),voipas-itch,2020-03-29,Puzzle,0.0,
Reversion 3 - The Return,reversion-3-the-return,2020-03-27,Adventure,0.0,
Catch The Toast,catch-the-toast,2020-03-29,Action,0.0,
ｾﾔﾅｰBOX(ボイゲジャムver),seyanaboxboigeziyamuver,2020-03-29,Simulation,0.0,
Eternity (Julleh),eternity-julleh,2020-03-29,Platformer,0.0,
Loading (itch) (Sheepolution),loading-itch-sheepolution,2020-03-29,Adventure,0.0,
Evil AutoRunner,evil-autorunner,2020-03-29,Platformer,0.0,
Squeen's Adventure,squeens-adventure,2020-03-29,Platformer,0.0,
Terrible Level Editor,terrible-level-editor,2020-03-29,Platformer,0.0,
Counter Bullet,counter-bullet,2020-03-29,Shooter,0.0,
Coronarfour,coronarfour,2020-03-28,Action,0.0,
Earth (pa1n7),earth-pa1n7,2020-03-28,Simulation,0.0,
Be Buddies With Miku! (Venting game),be-buddies-with-miku-venting-game,2020-03-28,none,0.0,
let go (goetworks),let-go-goetworks,2020-03-28,none,0.0,
Unoriginal 2D Shooter,unoriginal-2d-shooter,2020-03-28,Shooter,0.0,
Terra Feminarum - Aurora Edition BETA,terra-feminarum-aurora-edition-beta,2020-03-28,Shooter,0.0,
Split Soldiers,split-soldiers,2020-03-28,Shooter,0.0,
The Beta Tester-Demo,the-beta-tester-demo,2020-03-28,RPG,0.0,
Untitled Toilet Paper Game,untitled-toilet-paper-game,2020-03-28,none,0.0,
The Dark Wood,the-dark-wood,2020-03-27,RPG,0.0,
The Zombie Problem 2 (Singleplayer Zombie Fps Campaign),the-zombie-problem-2-singleplayer-zombie-fps-campa,2020-03-27,Shooter,0.0,
Ides Of March,ides-of-march,2020-03-27,Platformer,0.0,
Llama Lland,llama-lland,2020-03-27,none,0.0,
Viral Infection,viral-infection,2020-03-27,none,0.0,
Holidays - PS1-Horror game PROTOTYPE,holidays-ps1-horror-game-prototype,2020-03-27,none,0.0,
PUGDEMIA,pugdemia,2020-03-27,Shooter,0.0,
GOOD GAME #1,good-game-1,2020-03-27,Racing,0.0,
Straight Away,straight-away,2020-03-27,Action,0.0,
Kurco Game,kurco-game,2020-03-27,none,0.0,
Swatting the mental hospital Cursed edition,swatting-the-mental-hospital-cursed-edition,2020-03-27,none,0.0,
1D GOLF,1d-golf,2020-03-27,none,0.0,
Virus Simulator,virus-simulator,2020-03-27,Simulation,0.0,
Horn Escape,horn-escape,2020-03-27,Platformer,0.0,
Project Claudio's,project-claudios,2020-03-27,Adventure,0.0,
IdleStarInscape (DiibEntretainmentOficial),idlestarinscape-diibentretainmentoficial,2020-03-27,Platformer,0.0,
Tri Shooter,tri-shooter,2020-03-27,Shooter,0.0,
A Game of Pure Skill,a-game-of-pure-skill,2020-03-27,none,0.0,
Bluu,bluu,2020-03-27,Platformer,0.0,
BBRMS: The Immense Schoolhouse,bbrms-the-immense-schoolhouse,2020-03-27,none,0.0,
Humanslayer,humanslayer,2020-03-27,none,0.0,
In The Shadow Of Raa,in-the-shadow-of-raa,2020-03-27,Adventure,0.0,
Aufsichtspflicht bei Kinder- und Jugendreisen,aufsichtspflicht-bei-kinder-und-jugendreisen,2020-03-27,Educational,0.0,
MUSEUM VOLUME I,museum-volume-i,2020-03-27,Adventure,0.0,
Jumpo (Chai's Play),jumpo-chais-play,2020-03-27,Platformer,0.0,
Quanta Position,quanta-position,2020-03-27,Platformer,0.0,
Mario Maker (Java Edition),mario-maker-java-edition,2020-03-27,Educational,0.0,
Gerry's Game,gerrys-game,2020-03-27,none,0.0,
Animal Crossing 2,animal-crossing-2,2020-03-27,none,0.0,
Test Arabic Fungus Game,test-arabic-fungus-game,2020-03-27,none,0.0,
COVID ESCAPE,covid-escape,2020-03-27,Strategy,0.0,
The Adventures of Dat Boi.,the-adventures-of-dat-boi,2020-03-27,none,0.0,
Simbol Unreal,simbol-unreal,2020-03-26,Shooter,0.0,
Unreachable,unreachable,2020-03-27,Platformer,0.0,
Doggo in Space,doggo-in-space,2020-03-26,none,0.0,
Bobs Adventure,bobs-adventure-2,2020-03-26,none,0.0,
4096 New,4096-new,2020-03-27,none,0.0,
Spade DEMO (48hour project),spade-demo-48hour-project,2020-03-27,Shooter,0.0,
CatchFish,catchfish,2020-03-27,none,0.0,
Beat Tiles: Rhythmatic tap,beat-tiles-rhythmatic-tap,2020-03-20,none,0.0,
Bark Park!,bark-park,2020-02-11,Strategy,0.0,
The traitor from ancient Rome,the-traitor-from-ancient-rome,2020-04-06,none,0.0,
Zector Beta Release 1.0,zector-beta-release-10,2020-04-06,Platformer,0.0,
"Mischief, Atrocity & Malice Academy",mischief-atrocity-malice-academy,2020-04-04,none,0.0,
eyesight in the time of ROBOs,eyesight-in-the-time-of-robos,2020-04-04,none,0.0,
OOFCUL BASICS,oofcul-basics,2020-04-04,Educational,0.0,
Robot Grid,robot-grid,2020-04-04,Adventure,0.0,
Pulse (itch) (Mimmopokemon),pulse-itch-mimmopokemon,2020-04-05,Action,0.0,
Superhumans* - RU ACM GameJam,superhumans-ru-acm-gamejam,2020-04-05,Adventure,0.0,
PAINters,painters,2020-04-05,Action,0.0,
Isabelle has a gun!,isabelle-has-a-gun,2020-04-04,Shooter,0.0,
Vibrance,vibrance,2020-04-05,Simulation,0.0,
Tia Abacaxi Atravessando a Rua,tia-abacaxi-atravessando-a-rua,2020-04-04,Action,0.0,
On A-Z.216,on-a-z216,2020-04-05,none,0.0,
Gwyn of Glyndŵr,gwyn-of-glyndwr,2020-04-05,Adventure,0.0,
Stalk The Stalker,stalk-the-stalker,2020-04-05,none,0.0,
Are You A Villain?,are-you-a-villain,2020-04-05,Platformer,0.0,
Fighting the Virus,fighting-the-virus,2020-04-05,Action,0.0,
Flee From Purgatory [Alpha],flee-from-purgatory-alpha,2020-04-05,Adventure,0.0,
Bad Turtle Game,bad-turtle-game,2020-04-05,Shooter,0.0,
pushing HELL,pushing-hell,2020-04-05,none,0.0,
Werewolf Wake,werewolf-wake,2020-04-05,none,0.0,
Destructivator 2 (Pug Fugly Games),destructivator-2-pug-fugly-games,2020-04-05,Shooter,0.0,
GunGun: No Virus Allowed!,gungun-no-virus-allowed,2020-04-05,Action,0.0,
Leonardino,leonardino,2020-04-05,Action,0.0,
Entering,entering,2020-04-05,none,0.0,
Little Jelly,little-jelly,2020-04-05,none,0.0,
"Fly, baby, fly!",fly-baby-fly,2020-04-05,none,0.0,
Magic Garden (Nataliao),magic-garden-nataliao,2020-04-05,Adventure,0.0,
HYPERLOOP,hyperloop,2020-04-05,Action,0.0,
Tableau Pizzeria,tableau-pizzeria,2020-04-05,Action,0.0,
Exetior's Basics In Learning And Stuffs (WIP Baldi's Basics Mod),exetiors-basics-in-learning-and-stuffs-wip-baldis-,2020-04-05,none,0.0,
CovidTime,covidtime,2020-04-05,Action,0.0,
T-Rex: Resurrection,t-rex-resurrection,2020-04-05,none,0.0,
ROGNOD,rognod,2020-04-05,none,0.0,
RamenGrave,ramengrave,2020-04-05,Platformer,0.0,
Regalos de la Vida,regalos-de-la-vida,2020-04-05,none,0.0,
Over My Dead Body (lydiaDover),over-my-dead-body-lydiadover,2020-04-05,Puzzle,0.0,
Trouble In the Tableau,trouble-in-the-tableau,2020-04-05,Platformer,0.0,
Double Date,double-date,2020-04-05,Strategy,0.0,
INSIDE YOU,inside-you,2020-04-05,Platformer,0.0,
Desert of the Real,desert-of-the-real,2020-04-05,Simulation,0.0,
cube cavern,cube-cavern,2020-04-05,none,0.0,
Parchís,parchis,2020-04-05,Strategy,0.0,
Reset Co.,reset-co,2020-04-05,Puzzle,0.0,
Supermarket Mania (itch),supermarket-mania-itch,2020-04-06,Educational,0.0,
test1 (zvava),test1-zvava,2020-04-05,none,0.0,
Subversion (itch) (Zoo3y),subversion-itch-zoo3y,2020-04-05,none,0.0,
Bit Jail,bit-jail,2020-04-05,Puzzle,0.0,
Pulp Institute of Art,pulp-institute-of-art,2020-04-05,Action,0.0,
The Ides of March,the-ides-of-march,2020-04-05,none,0.0,
Borders (Masterdd15),borders-masterdd15,2020-04-05,Puzzle,0.0,
GAP I,gap-i,2020-04-05,Puzzle,0.0,
Robot Fury,robot-fury,2020-04-05,none,0.0,
Piet Mondrian and the Missing Colors,piet-mondrian-and-the-missing-colors,2020-04-05,Educational,0.0,
Corona Dodge,corona-dodge,2020-04-05,Action,0.0,
Laser,laser-3,2020-04-05,none,0.0,
Co-Virnae,co-virnae,2020-04-05,Puzzle,0.0,
Wormy (mrhthepie),wormy-mrhthepie,2020-04-05,Action,0.0,
Under The Moon,under-the-moon,2020-04-05,RPG,0.0,
Satanic Puzzle solving,satanic-puzzle-solving,2020-04-05,Puzzle,0.0,
Mass Driving,mass-driving,2020-04-05,Simulation,0.0,
SAY YOU CARE,say-you-care,2020-04-05,none,0.0,
Color Switcher (EyadTheGreat),color-switcher-eyadthegreat,2020-04-05,Puzzle,0.0,
Mondrian Madness,mondrian-madness,2020-04-05,Puzzle,0.0,
Space Shooter (DeadWormy6234),space-shooter-deadwormy6234,2020-04-05,Action,0.0,
Baneville,baneville,2020-04-03,Educational,0.0,
Not so Idle Jumper,not-so-idle-jumper,2020-04-03,Platformer,0.0,
COLOSSUS (itch) (8KEN),colossus-itch-8ken,2020-04-03,none,0.0,
Real Life (NNNontendo),real-life-nnnontendo,2020-04-03,RPG,0.0,
Juegos Online de Cartas y de Mesa,juegos-online-de-cartas-y-de-mesa,2020-04-03,Educational,0.0,
Run Away 2020,run-away-2020,2020-04-03,Adventure,0.0,
Viral War,viral-war,2020-04-03,Action,0.0,
Super Pixel season 1,super-pixel-season-1,2020-04-03,Shooter,0.0,
CDHTP03,cdhtp03,2020-04-03,none,0.0,
WarpThrough (itch),warpthrough-itch,2020-04-03,Platformer,0.0,
IMPSLAND,impsland,2020-04-03,Action,0.0,
KROG,krog,2020-04-03,Platformer,0.0,
BlockBreaker (Slatydog),blockbreaker-slatydog,2020-04-03,Puzzle,0.0,
i hate quarantine,i-hate-quarantine,2020-04-03,none,0.0,
Toilet Paperboy,toilet-paperboy,2020-04-03,none,0.0,
Celeste 2.7,celeste-27,2020-04-03,Platformer,0.0,
QUICK!!!,quick-2,2020-04-03,Puzzle,0.0,
Desert Star,desert-star,2020-04-03,Shooter,0.0,
Memory Isolation: The Game!,memory-isolation-the-game,2020-04-03,Platformer,0.0,
toxic jump,toxic-jump,2020-04-03,Platformer,0.0,
SCREAM (computer_fox),scream-computer_fox,2020-04-03,none,0.0,
Cognitive Labour Update,cognitive-labour-update,2020-04-03,none,0.0,
The Legend of Teddy Plubo,the-legend-of-teddy-plubo,2020-04-03,Puzzle,0.0,
Swamp Raider,swamp-raider,2020-04-03,Action,0.0,
Computers have feelings too,computers-have-feelings-too,2020-04-03,Strategy,0.0,
Grim Reaper (LoYan),grim-reaper-loyan,2020-04-03,Adventure,0.0,
Final Words,final-words,2020-04-03,Strategy,0.0,
Platformer (Zr0 Games),platformer-zr0-games,2020-04-03,none,0.0,
Sidescroller Demo,sidescroller-demo,2020-04-03,none,0.0,
Escape the tower (assassin_rakkun1858),escape-the-tower-assassin_rakkun1858,2020-04-03,none,0.0,
RECAPTURE - DEMO,recapture-demo,2020-04-02,Adventure,0.0,
FPS City,fps-city,2020-04-03,Shooter,0.0,
Godot Roguelike Demo,godot-roguelike-demo,2020-04-04,RPG,0.0,
Pirasea (lilou_cormic),pirasea-lilou_cormic,2020-04-04,Puzzle,0.0,
Abomination Fight Pit Deluxe,abomination-fight-pit-deluxe,2020-04-04,Action,0.0,
Palinode,palinode,2020-04-04,none,0.0,
Wildworld,wildworld,2020-04-03,none,0.0,
Create with Code - Prototype 1,create-with-code-prototype-1,2020-04-03,Racing,0.0,
Pongus,pongus,2020-04-03,none,0.0,
Ice Roll,ice-roll,2020-04-03,Puzzle,0.0,
Alone (itch) (iMatio),alone-itch-imatio,2020-04-03,none,0.0,
Dodge The Blocks (itch) (AutoLs),dodge-the-blocks-itch-autols,2020-04-03,Action,0.0,
Onu,onu,2020-04-03,none,0.0,
Top Down Shooter (Darneezy),top-down-shooter-darneezy,2020-04-03,Shooter,0.0,
Farm and Fight,farm-and-fight,2020-04-03,RPG,0.0,
10 Gnomes in Malmo,10-gnomes-in-malmo,2020-04-03,Puzzle,0.0,
Poker 3 Bags,poker-3-bags,2020-04-03,none,0.0,
JULPITER,julpiter,2020-04-03,Adventure,0.0,
Our Mechanical Life,our-mechanical-life,2020-04-03,Racing,0.0,
Fropple,fropple,2020-04-03,Platformer,0.0,
ROOMS (DEMO),rooms-demo,2020-04-03,none,0.0,
"Camp Adventure Demo March 3, 2020",camp-adventure-demo-march-3-2020,2020-04-03,Adventure,0.0,
Strange Stories,strange-stories,2020-04-03,Adventure,0.0,
The Knight’s Travel Book,the-knights-travel-book,2020-04-03,Platformer,0.0,
Floppy Tortoise,floppy-tortoise,2020-04-03,none,0.0,
Saint Quest,saint-quest,2020-04-04,Strategy,0.0,
The Outdoor Mission,the-outdoor-mission,2020-04-04,Platformer,0.0,
Down to earth (zion2027),down-to-earth-zion2027,2020-04-04,Shooter,0.0,
Splash (itch) (Robotman_Espla),splash-itch-robotman_espla,2020-04-04,Educational,0.0,
COVID 19: Fallout (Demo),covid-19-fallout-demo,2020-04-04,none,0.0,
Planet Rush,planet-rush,2020-04-03,Adventure,0.0,
SLING!,sling-3,2020-04-03,none,0.0,
Hellhound simulator,hellhound-simulator,2020-04-04,Action,0.0,
Legging It,legging-it,2020-04-04,Adventure,0.0,
Cannon Ball (Dripping Tap),cannon-ball-dripping-tap,2020-04-04,Platformer,0.0,
Crab N' Grab,crab-n-grab,2020-04-04,Platformer,0.0,
GG Greed,gg-greed,2020-04-04,none,0.0,
TRI_COCKTAIL,tri_cocktail,2020-04-04,Platformer,0.0,
PewPew Simulator,pewpew-simulator,2020-04-04,Shooter,0.0,
Classic pocket equine,classic-pocket-equine,2020-04-04,none,0.0,
Robot invasion (hemisfera),robot-invasion-hemisfera,2020-04-04,none,0.0,
Flappy Phone,flappy-phone,2020-04-04,Puzzle,0.0,
Corona Out,corona-out,2020-04-04,Puzzle,0.0,
Invisible enemy,invisible-enemy,2020-04-04,Fighting,0.0,
Cube V Cube,cube-v-cube,2020-04-05,Puzzle,0.0,
A Virus outdoors,a-virus-outdoors,2020-04-05,none,0.0,
The Rotarran,the-rotarran,2020-04-05,Adventure,0.0,
CubeCalipse (Dani Saez),cubecalipse-dani-saez,2020-04-04,Racing,0.0,
La Paloma Negra,la-paloma-negra,2020-04-04,Shooter,0.0,
The Endless War (itzhak27),the-endless-war-itzhak27,2020-04-04,none,0.0,
Midnight Village,midnight-village,2020-04-05,none,0.0,
Store Clicker,store-clicker,2020-04-05,Simulation,0.0,
Wanna Beer?,wanna-beer,2020-04-05,RPG,0.0,
Alien Game Thing,alien-game-thing,2020-04-05,none,0.0,
life circle,life-circle,2020-04-04,none,0.0,
FNAF PAC 3 Gmod,fnaf-pac-3-gmod,2020-04-05,none,0.0,
Space Cowboys (jogacolhue),space-cowboys-jogacolhue,2020-04-04,none,0.0,
SFUMATO Memories,sfumato-memories,2020-04-04,none,0.0,
Trust Issues,trust-issues,2020-04-04,Platformer,0.0,
espasonave abc estrelar,espasonave-abc-estrelar,2020-04-04,none,0.0,
Not That Sad online,not-that-sad-online,2020-04-04,Shooter,0.0,
Project AntiPatik,project-antipatik,2020-04-04,none,0.0,
Super Hot Wings! 超級火燒機翅！,super-hot-wings-chao-ji-huo-shao-ji-chi,2020-04-04,Shooter,0.0,
The Upside Down 2,the-upside-down-2,2020-04-04,none,0.0,
EXPERIMENTUM,experimentum,2020-04-07,Shooter,0.0,
Stare at a box,stare-at-a-box,2020-04-07,Adventure,0.0,
The apple falls far from the tree,the-apple-falls-far-from-the-tree,2020-04-07,Shooter,0.0,
STOP COVID-19,stop-covid-19,2020-04-07,Shooter,0.0,
No Rope for You - Nonsense Game Jam,no-rope-for-you-nonsense-game-jam,2020-04-07,Platformer,0.0,
The Strings of Fate,the-strings-of-fate,2020-04-07,none,0.0,
Black & White (itch) (Radosław Jachimowicz),black-white-itch-radoslaw-jachimowicz,2020-04-07,Platformer,0.0,
Gangster Life Master Simulator Ultra 2020,gangster-life-master-simulator-ultra-2020,2020-04-07,Action,0.0,
Cartas Caseras: El Torneo,cartas-caseras-el-torneo,2020-04-07,none,0.0,
Cube Rush (Don Kyniu),cube-rush-don-kyniu,2020-04-07,none,0.0,
TMA RTS Tech Demo,tma-rts-tech-demo,2020-04-07,Strategy,0.0,
The new deadly world,the-new-deadly-world,2020-04-07,Simulation,0.0,
Dark Sudoku - Classic Sudoku Puzzle,dark-sudoku-classic-sudoku-puzzle,2020-04-07,Puzzle,0.0,
THE WORD OF BALLY,the-word-of-bally,2020-04-07,none,0.0,
Blind Drivers 1,blind-drivers-1,2020-04-07,Racing,0.0,
"Beholder (itch) (TheJunt, vfqd)",beholder-itch-thejunt-vfqd,2020-04-06,Shooter,0.0,
After Tale,after-tale,2020-04-07,Shooter,0.0,
Caveman Boy,caveman-boy,2020-04-07,Action,0.0,
Virus Memory Puzzle,virus-memory-puzzle,2020-04-07,Puzzle,0.0,
Thiefly,thiefly,2020-04-07,none,0.0,
Other OS versions - Redesign Rebuild Reclaim,other-os-versions-redesign-rebuild-reclaim,2020-04-07,none,0.0,
a Roguelike,a-roguelike,2020-04-07,Platformer,0.0,
Moving Rectangle,moving-rectangle,2020-04-07,none,0.0,
Escape Game: 3 monsters,escape-game-3-monsters,2020-04-07,Adventure,0.0,
SMB (Fin Nolimit),smb-fin-nolimit,2020-04-07,none,0.0,
24/7,game-705,2020-04-07,none,0.0,
Feria Libre (Game Jam),feria-libre-game-jam,2020-04-07,Shooter,0.0,
Los_Olvidados_F en el Chat,los_olvidados_f-en-el-chat,2020-04-07,Simulation,0.0,
Space Stasis,space-stasis,2020-04-10,Action,0.0,
Terminus Dusk (Demo 0.1),terminus-dusk-demo-01,2020-04-09,Action,0.0,
Sleep Paralysis (gjuarez),sleep-paralysis-gjuarez,2020-04-09,none,0.0,
Staysea's Day Off,stayseas-day-off,2020-04-09,none,0.0,
Go Corona Go (NuTBreAker),go-corona-go-nutbreaker,2020-04-09,Platformer,0.0,
MMM (Shakalcks),mmm-shakalcks,2020-04-09,Platformer,0.0,
Food Chain (ShawnTheSheep),food-chain-shawnthesheep,2020-04-09,none,0.0,
Unity Standard Assets (4.6) Remastered,unity-standard-assets-46-remastered,2020-04-10,Simulation,0.0,
Un-Named Platformer,un-named-platformer,2020-04-09,Platformer,0.0,
